Day of month	Flight Number	Tail Number	Destination airport	Airborne time (minutes)	Distance  (miles)
1	833	N619DL	ABQ	179	1267
1	1125	N660DL	ABQ	179	1267
1	1589	N678DL	ABQ	183	1267
2	833	N659DL	ABQ	172	1267
2	1125	N656DL	ABQ	181	1267
2	1589	N665DN	ABQ	184	1267
3	833	N686DA	ABQ	175	1267
3	1589	N635DL	ABQ	179	1267
3	1125	N692DL	ABQ	183	1267
4	1589	N631DL	ABQ	173	1267
4	833	N688DL	ABQ	179	1267
4	1125	N660DL	ABQ	182	1267
5	1589	N659DL	ABQ	172	1267
5	833	N624DL	ABQ	173	1267
5	1125	N608DA	ABQ	182	1267
6	833	N677DL	ABQ	159	1267
6	1125	N679DA	ABQ	164	1267
6	1589	N666DN	ABQ	166	1267
7	1589	N602DL	ABQ	167	1267
7	1125	N665DN	ABQ	175	1267
7	833	N616DL	ABQ	177	1267
8	1125	N672DL	ABQ	162	1267
8	833	N606DL	ABQ	171	1267
8	1589	N689DL	ABQ	172	1267
9	1589	N611DL	ABQ	165	1267
9	833	N680DA	ABQ	169	1267
9	1125	N675DL	ABQ	172	1267
10	1125	N617DL	ABQ	157	1267
10	1589	N688DL	ABQ	161	1267
10	833	N671DN	ABQ	163	1267
11	833	N667DN	ABQ	162	1267
11	1125	N626DL	ABQ	167	1267
11	1589	N614DL	ABQ	170	1267
12	833	N673DL	ABQ	175	1267
12	1125	N676DL	ABQ	176	1267
13	1125	N652DL	ABQ	175	1267
13	833	N630DL	ABQ	181	1267
13	1589	N604DL	ABQ	181	1267
14	1589	N657DL	ABQ	169	1267
14	1125	N617DL	ABQ	170	1267
14	833	N606DL	ABQ	171	1267
15	1125	N641DL	ABQ	176	1267
15	833	N626DL	ABQ	177	1267
15	1589	N688DL	ABQ	180	1267
16	1589	N634DL	ABQ	174	1267
16	833	N664DN	ABQ	177	1267
16	1125	N630DL	ABQ	179	1267
17	1125	N657DL	ABQ	182	1267
17	1589	N673DL	ABQ	184	1267
17	833	N658DL	ABQ	194	1267
18	1589	N692DL	ABQ	170	1267
18	1125	N681DA	ABQ	172	1267
18	833	N687DL	ABQ	176	1267
19	833	N686DA	ABQ	172	1267
19	1589	N653DL	ABQ	178	1267
19	1125	N677DL	ABQ	193	1267
20	833	N654DL	ABQ	172	1267
20	1589	N667DN	ABQ	176	1267
20	1125	N659DL	ABQ	177	1267
21	1125	N625DL	ABQ	176	1267
21	1589	N635DL	ABQ	176	1267
21	833	N688DL	ABQ	179	1267
22	1125	N622DL	ABQ	181	1267
22	1589	N669DN	ABQ	181	1267
22	833	N608DA	ABQ	190	1267
23	1589	N628DL	ABQ	185	1267
23	833	N692DL	ABQ	186	1267
23	1125	N633DL	ABQ	186	1267
24	1125	N605DL	ABQ	172	1267
24	833	N608DA	ABQ	176	1267
24	1589	N636DL	ABQ	180	1267
25	833	N665DN	ABQ	165	1267
25	1125	N616DL	ABQ	171	1267
25	1589	N680DA	ABQ	177	1267
26	1589	N612DL	ABQ	169	1267
26	1125	N609DL	ABQ	175	1267
26	833	N603DL	ABQ	186	1267
27	1125	N619DL	ABQ	172	1267
27	1589	N610DL	ABQ	174	1267
27	833	N615DL	ABQ	175	1267
28	1125	N673DL	ABQ	172	1267
28	1589	N683DA	ABQ	176	1267
28	833	N688DL	ABQ	177	1267
29	833	N637DL	ABQ	177	1267
29	1589	N751AT	ABQ	181	1267
29	1125	N661DN	ABQ	184	1267
30	1589	N607DL	ABQ	182	1267
30	833	N619DL	ABQ	184	1267
30	1125	N626DL	ABQ	184	1267
31	1589	N668DN	ABQ	177	1267
31	1125	N629DL	ABQ	181	1267
31	833	N661DN	ABQ	194	1267
1	894	N915DE	ALB	110	853
1	342	N927DA	ALB	111	853
1	844	N952DL	ALB	112	853
1	768	N917DL	ALB	114	853
2	894	N940DL	ALB	105	853
2	342	N907DL	ALB	107	853
2	768	N937DL	ALB	108	853
2	844	N928DL	ALB	114	853
3	894	N906DL	ALB	110	853
3	342	N926DL	ALB	111	853
3	768	N950DL	ALB	112	853
3	844	N922DL	ALB	112	853
4	342	N969DL	ALB	109	853
4	894	N907DE	ALB	112	853
4	844	N943DL	ALB	113	853
4	768	N964DL	ALB	121	853
5	342	N945DL	ALB	110	853
5	768	N938DL	ALB	112	853
5	844	N915DE	ALB	112	853
5	894	N942DL	ALB	112	853
6	844	N993DL	ALB	111	853
6	342	N988DL	ALB	112	853
6	894	N918DE	ALB	112	853
6	768	N954DL	ALB	119	853
7	894	N907DE	ALB	108	853
7	768	N931DL	ALB	116	853
7	844	N926DL	ALB	116	853
7	342	N924DL	ALB	121	853
8	894	N902DE	ALB	108	853
8	342	N924DL	ALB	111	853
8	768	N959DL	ALB	111	853
8	844	N923DL	ALB	115	853
9	768	N965DL	ALB	102	853
9	342	N903DL	ALB	106	853
9	894	N953DL	ALB	107	853
9	844	N997DL	ALB	108	853
10	844	N916DE	ALB	111	853
10	342	N919DL	ALB	115	853
10	768	N913DE	ALB	119	853
10	894	N987DL	ALB	119	853
11	342	N982DL	ALB	113	853
11	844	N989DL	ALB	113	853
11	894	N936DL	ALB	115	853
11	768	N910DE	ALB	118	853
12	768	N971DL	ALB	108	853
12	342	N949DL	ALB	114	853
12	844	N943DL	ALB	115	853
12	894	N922DL	ALB	115	853
13	894	N961DL	ALB	103	853
13	844	N919DE	ALB	107	853
13	342	N957DL	ALB	109	853
13	768	N942DL	ALB	111	853
14	894	N918DE	ALB	105	853
14	768	N910DE	ALB	107	853
14	342	N966DL	ALB	108	853
14	844	N903DL	ALB	112	853
15	844	N994DL	ALB	102	853
15	342	N911DE	ALB	105	853
15	894	N950DL	ALB	108	853
15	768	N967DL	ALB	109	853
16	844	N947DL	ALB	103	853
16	768	N920DE	ALB	104	853
16	894	N980DL	ALB	106	853
16	342	N954DL	ALB	107	853
17	894	N975DL	ALB	106	853
17	342	N952DL	ALB	112	853
17	768	N946DL	ALB	115	853
17	844	N984DL	ALB	116	853
18	894	N920DL	ALB	109	853
18	768	N940DL	ALB	110	853
18	342	N912DE	ALB	112	853
18	844	N965DL	ALB	114	853
19	894	N995DL	ALB	106	853
19	342	N927DA	ALB	112	853
19	768	N989DL	ALB	113	853
19	844	N968DL	ALB	118	853
20	768	N930DL	ALB	112	853
20	342	N973DL	ALB	113	853
20	894	N935DL	ALB	113	853
20	844	N997DL	ALB	116	853
21	844	N904DL	ALB	115	853
21	342	N983DL	ALB	116	853
21	768	N909DL	ALB	117	853
21	894	N931DL	ALB	117	853
22	342	N958DL	ALB	123	853
22	844	N918DL	ALB	125	853
22	894	N932DL	ALB	127	853
22	768	N920DL	ALB	131	853
23	894	N972DL	ALB	109	853
23	768	N910DE	ALB	113	853
23	342	N984DL	ALB	116	853
23	844	N908DL	ALB	121	853
24	844	N949DL	ALB	110	853
24	894	N961DL	ALB	117	853
24	342	N995DL	ALB	119	853
24	768	N987DL	ALB	122	853
25	342	N914DL	ALB	117	853
25	768	N915DE	ALB	118	853
25	844	N917DE	ALB	118	853
25	894	N949DL	ALB	120	853
26	342	N947DL	ALB	115	853
26	768	N907DE	ALB	118	853
26	894	N913DE	ALB	119	853
26	844	N912DE	ALB	120	853
27	894	N927DA	ALB	114	853
27	768	N992DL	ALB	117	853
27	342	N970DL	ALB	119	853
27	844	N986DL	ALB	119	853
28	894	N999DN	ALB	105	853
28	342	N925DL	ALB	121	853
28	768	N987DL	ALB	122	853
28	844	N906DL	ALB	123	853
29	342	N944DL	ALB	116	853
29	844	N949DL	ALB	117	853
29	768	N993DL	ALB	118	853
29	894	N971DL	ALB	119	853
30	894	N926DL	ALB	109	853
30	768	N951DL	ALB	110	853
30	342	N920DE	ALB	111	853
30	844	N914DE	ALB	114	853
31	342	N904DL	ALB	108	853
31	894	N916DL	ALB	108	853
31	844	N929DL	ALB	109	853
31	768	N912DL	ALB	111	853
1	1221	N935DL	AUS	112	812
1	976	N971DL	AUS	115	812
1	1005	N309DL	AUS	115	812
1	1819	N918DL	AUS	116	812
1	681	N242WA	AUS	125	812
2	1221	N973DL	AUS	116	812
2	681	N332DL	AUS	117	812
2	1819	N990DL	AUS	117	812
2	1005	N302DL	AUS	126	812
3	1221	N911DE	AUS	110	812
3	1819	N978DL	AUS	114	812
3	976	N915DL	AUS	116	812
3	681	N306DL	AUS	117	812
3	1005	N237WA	AUS	120	812
4	976	N909DE	AUS	111	812
4	1819	N946DL	AUS	111	812
4	1005	N306DL	AUS	112	812
4	681	N308DL	AUS	113	812
4	1221	N981DL	AUS	118	812
5	976	N920DE	AUS	109	812
5	1819	N922DL	AUS	109	812
5	1221	N925DL	AUS	111	812
5	681	N378DL	AUS	114	812
5	1005	N308DL	AUS	118	812
6	976	N919DL	AUS	111	812
6	1221	N986DL	AUS	112	812
6	1819	N969DL	AUS	112	812
6	681	N334DL	AUS	116	812
6	1005	N312DL	AUS	118	812
7	1819	N907DL	AUS	109	812
7	1221	N920DL	AUS	114	812
7	976	N952DL	AUS	115	812
7	1005	N334DL	AUS	117	812
7	681	N237WA	AUS	118	812
8	976	N990DL	AUS	113	812
8	1819	N902DL	AUS	113	812
8	1221	N996DL	AUS	114	812
8	681	N379DL	AUS	118	812
8	1005	N237WA	AUS	119	812
9	1221	N914DL	AUS	113	812
9	681	N305DL	AUS	118	812
9	1005	N379DL	AUS	118	812
9	1819	N907DE	AUS	119	812
10	976	N920DE	AUS	112	812
10	1221	N966DL	AUS	115	812
10	1819	N941DL	AUS	116	812
10	1005	N305DL	AUS	117	812
10	681	N313DL	AUS	118	812
11	976	N987DL	AUS	119	812
11	681	N381DL	AUS	120	812
11	1819	N965DL	AUS	120	812
11	1005	N313DL	AUS	121	812
11	1221	N978DL	AUS	122	812
12	1221	N916DE	AUS	119	812
12	1005	N332DL	AUS	122	812
12	976	N961DL	AUS	124	812
12	1819	N933DL	AUS	124	812
12	681	N238WA	AUS	125	812
13	976	N901DE	AUS	118	812
13	1005	N238WA	AUS	122	812
13	681	N316DL	AUS	123	812
13	1221	N967DL	AUS	123	812
13	1819	N918DE	AUS	123	812
14	976	N905DL	AUS	122	812
14	1819	N911DE	AUS	123	812
14	681	N311DL	AUS	131	812
14	1005	N316DL	AUS	132	812
14	1221	N908DL	AUS	133	812
15	1819	N989DL	AUS	119	812
15	976	N988DL	AUS	120	812
15	1005	N315DL	AUS	120	812
15	681	N244WA	AUS	121	812
15	1221	N946DL	AUS	121	812
16	1819	N986DL	AUS	115	812
16	1221	N909DL	AUS	116	812
16	681	N306DL	AUS	120	812
16	1005	N313DL	AUS	122	812
17	1221	N942DL	AUS	113	812
17	976	N932DL	AUS	116	812
17	1005	N306DL	AUS	116	812
17	681	N245WA	AUS	119	812
17	1819	N925DL	AUS	119	812
18	1221	N996DL	AUS	114	812
18	681	N307DL	AUS	116	812
18	1819	N918DL	AUS	118	812
18	1005	N245WA	AUS	119	812
18	976	N983DL	AUS	120	812
19	976	N937DL	AUS	125	812
19	1005	N376DL	AUS	126	812
19	1221	N976DL	AUS	126	812
19	1819	N979DL	AUS	127	812
20	976	N974DL	AUS	110	812
20	1221	N933DL	AUS	110	812
20	1819	N955DL	AUS	111	812
20	681	N379DL	AUS	115	812
20	1005	N237WA	AUS	116	812
21	1819	N924DL	AUS	110	812
21	1221	N995DL	AUS	112	812
21	681	N324DL	AUS	114	812
21	976	N901DE	AUS	114	812
21	1005	N245WA	AUS	115	812
22	1221	N972DL	AUS	112	812
22	681	N327DL	AUS	114	812
22	1005	N324DL	AUS	115	812
22	1819	N989DL	AUS	116	812
22	976	N951DL	AUS	118	812
23	1221	N923DL	AUS	121	812
23	681	N243WA	AUS	122	812
23	1819	N902DE	AUS	124	812
23	1005	N382DL	AUS	127	812
24	976	N954DL	AUS	115	812
24	681	N318DL	AUS	116	812
24	1005	N378DL	AUS	117	812
24	1221	N944DL	AUS	118	812
24	1819	N981DL	AUS	118	812
25	681	N304DL	AUS	111	812
25	1819	N961DL	AUS	112	812
25	976	N909DE	AUS	113	812
25	1005	N330DL	AUS	113	812
25	1221	N959DL	AUS	113	812
26	1819	N982DL	AUS	112	812
26	976	N906DL	AUS	113	812
26	681	N332DL	AUS	115	812
26	1221	N972DL	AUS	117	812
26	1005	N304DL	AUS	123	812
27	1221	N940DL	AUS	110	812
27	681	N311DL	AUS	113	812
27	976	N900DE	AUS	113	812
27	1819	N957DL	AUS	113	812
27	1005	N303DL	AUS	114	812
28	976	N968DL	AUS	106	812
28	1221	N988DL	AUS	108	812
28	1005	N374DL	AUS	109	812
28	681	N307DL	AUS	111	812
28	1819	N913DE	AUS	112	812
29	1819	N970DL	AUS	111	812
29	976	N963DL	AUS	113	812
29	1221	N907DL	AUS	114	812
29	681	N308DL	AUS	117	812
29	1005	N322DL	AUS	119	812
30	1005	N321DL	AUS	113	812
30	1221	N929DL	AUS	115	812
30	681	N314DA	AUS	116	812
30	1819	N971DL	AUS	118	812
31	1221	N939DL	AUS	115	812
31	1819	N974DL	AUS	115	812
31	976	N984DL	AUS	116	812
31	1005	N245WA	AUS	116	812
31	681	N329DL	AUS	118	812
1	942	N624DL	BDL	109	859
1	422	N139DL	BDL	111	859
1	776	N907DE	BDL	111	859
1	1110	N940DL	BDL	112	859
1	300	N677DL	BDL	113	859
1	869	N909DE	BDL	114	859
1	286	N934DL	BDL	116	859
2	422	N630DL	BDL	111	859
2	776	N924DL	BDL	111	859
2	1110	N906DL	BDL	111	859
2	286	N942DL	BDL	113	859
2	869	N916DE	BDL	113	859
2	942	N653DL	BDL	114	859
2	1408	N112DL	BDL	114	859
3	422	N662DN	BDL	107	859
3	776	N906DE	BDL	109	859
3	942	N608DA	BDL	109	859
3	869	N963DL	BDL	110	859
3	1408	N660DL	BDL	110	859
3	1110	N985DL	BDL	111	859
3	286	N918DL	BDL	112	859
4	942	N661DN	BDL	112	859
4	286	N925DL	BDL	113	859
4	300	N115DA	BDL	113	859
4	422	N657DL	BDL	114	859
4	869	N931DL	BDL	115	859
4	1110	N936DL	BDL	115	859
4	776	N982DL	BDL	118	859
5	300	N104DA	BDL	107	859
5	286	N912DE	BDL	109	859
5	869	N917DE	BDL	110	859
5	942	N673DL	BDL	110	859
5	1110	N933DL	BDL	110	859
5	422	N610DL	BDL	111	859
5	776	N914DL	BDL	117	859
6	942	N666DN	BDL	111	859
6	1110	N3768	BDL	112	859
6	300	N618DL	BDL	115	859
6	776	N980DL	BDL	117	859
6	869	N906DE	BDL	117	859
6	286	N900DE	BDL	118	859
6	422	N630DL	BDL	119	859
7	942	N625DL	BDL	116	859
7	300	N109DL	BDL	117	859
7	1110	N935DL	BDL	117	859
7	422	N615DL	BDL	118	859
7	776	N914DL	BDL	120	859
7	869	N966DL	BDL	120	859
7	286	N974DL	BDL	126	859
8	942	N663DN	BDL	113	859
8	286	N917DE	BDL	115	859
8	869	N938DL	BDL	115	859
8	300	N112DL	BDL	118	859
8	1110	N953DL	BDL	118	859
8	422	N613DL	BDL	120	859
8	776	N901DE	BDL	122	859
9	422	N615DL	BDL	106	859
9	1408	N106DA	BDL	107	859
9	942	N611DL	BDL	108	859
9	776	N920DL	BDL	113	859
9	869	N980DL	BDL	113	859
9	286	N922DL	BDL	114	859
9	1110	N987DL	BDL	115	859
10	942	N610DL	BDL	106	859
10	422	N676DL	BDL	108	859
10	1110	N936DL	BDL	108	859
10	286	N915DE	BDL	109	859
10	1408	N101DA	BDL	110	859
10	869	N946DL	BDL	112	859
10	776	N944DL	BDL	114	859
11	422	N607DL	BDL	111	859
11	300	N114DL	BDL	112	859
11	942	N614DL	BDL	112	859
11	286	N903DL	BDL	114	859
11	869	N906DL	BDL	116	859
11	1110	N922DL	BDL	117	859
11	776	N984DL	BDL	118	859
12	942	N690DL	BDL	111	859
12	300	N107DL	BDL	113	859
12	286	N921DL	BDL	115	859
12	1110	N958DL	BDL	118	859
12	422	N607DL	BDL	120	859
12	869	N928DL	BDL	120	859
12	776	N976DL	BDL	122	859
13	286	N905DL	BDL	106	859
13	422	N683DA	BDL	106	859
13	942	N605DL	BDL	108	859
13	776	N986DL	BDL	109	859
13	300	N102DA	BDL	110	859
13	869	N920DE	BDL	110	859
13	1110	N995DL	BDL	110	859
14	869	N936DL	BDL	106	859
14	300	N112DL	BDL	107	859
14	422	N143DA	BDL	107	859
14	776	N959DL	BDL	107	859
14	286	N977DL	BDL	108	859
14	942	N657DL	BDL	109	859
14	1110	N914DL	BDL	112	859
15	942	N178DZ	BDL	98	859
15	422	N686DA	BDL	104	859
15	1110	N982DL	BDL	104	859
15	869	N976DL	BDL	106	859
15	300	N634DL	BDL	107	859
15	286	N919DL	BDL	109	859
15	776	N912DL	BDL	110	859
16	942	N610DL	BDL	101	859
16	286	N908DL	BDL	103	859
16	1110	N975DL	BDL	103	859
16	1408	N672DL	BDL	103	859
16	869	N907DL	BDL	105	859
16	776	N977DL	BDL	107	859
16	422	N656DL	BDL	108	859
17	942	N675DL	BDL	110	859
17	422	N683DA	BDL	112	859
17	1408	N110DL	BDL	112	859
17	1110	N920DL	BDL	113	859
17	869	N905DL	BDL	114	859
17	286	N901DE	BDL	115	859
17	776	N918DL	BDL	115	859
18	286	N939DL	BDL	111	859
18	422	N627DL	BDL	111	859
18	300	N113DA	BDL	112	859
18	869	N954DL	BDL	113	859
18	942	N661DN	BDL	116	859
18	776	N986DL	BDL	117	859
18	1110	N953DL	BDL	119	859
19	300	N104DA	BDL	110	859
19	286	N922DL	BDL	112	859
19	422	N668DN	BDL	112	859
19	942	N652DL	BDL	112	859
19	776	N905DL	BDL	113	859
19	869	N959DL	BDL	114	859
19	1110	N924DL	BDL	116	859
20	300	N109DL	BDL	113	859
20	869	N661DN	BDL	113	859
20	942	N667DN	BDL	113	859
20	422	N602DL	BDL	114	859
20	776	N920DE	BDL	114	859
20	1110	N990DL	BDL	116	859
20	286	N908DL	BDL	120	859
21	1110	N932DL	BDL	113	859
21	942	N661DN	BDL	114	859
21	300	N113DA	BDL	115	859
21	286	N957DL	BDL	117	859
21	422	N601DL	BDL	117	859
21	869	N910DL	BDL	118	859
21	776	N985DL	BDL	119	859
22	300	N104DA	BDL	119	859
22	942	N683DA	BDL	119	859
22	1110	N934DL	BDL	121	859
22	422	N112DL	BDL	122	859
22	286	N978DL	BDL	123	859
22	776	N952DL	BDL	125	859
22	869	N962DL	BDL	125	859
23	1408	N626DL	BDL	112	859
23	422	N617DL	BDL	116	859
23	776	N954DL	BDL	117	859
23	869	N920DE	BDL	117	859
23	942	N627DL	BDL	119	859
23	286	N931DL	BDL	120	859
23	1110	N905DL	BDL	125	859
24	1110	N937DL	BDL	108	859
24	942	N654DL	BDL	109	859
24	286	N983DL	BDL	116	859
24	422	N666DN	BDL	116	859
24	869	N955DL	BDL	119	859
24	1408	N108DL	BDL	119	859
24	776	N915DE	BDL	123	859
25	422	N672DL	BDL	115	859
25	300	N113DA	BDL	117	859
25	942	N680DA	BDL	117	859
25	1110	N906DL	BDL	117	859
25	286	N957DL	BDL	120	859
25	869	N987DL	BDL	120	859
25	776	N962DL	BDL	121	859
26	869	N907DL	BDL	116	859
26	300	N109DL	BDL	117	859
26	942	N641DL	BDL	117	859
26	286	N911DL	BDL	119	859
26	776	N961DL	BDL	120	859
26	1110	N927DA	BDL	121	859
26	422	N692DL	BDL	122	859
27	300	N106DA	BDL	114	859
27	942	N654DL	BDL	114	859
27	286	N926DL	BDL	115	859
27	422	N669DN	BDL	115	859
27	1110	N913DL	BDL	115	859
27	869	N990DL	BDL	116	859
27	776	N909DE	BDL	118	859
28	300	N657DL	BDL	115	859
28	422	N120DL	BDL	115	859
28	776	N924DL	BDL	115	859
28	942	N683DA	BDL	116	859
28	286	N963DL	BDL	121	859
28	869	N966DL	BDL	121	859
28	1110	N990DL	BDL	121	859
29	776	N997DL	BDL	117	859
29	942	N751AT	BDL	117	859
29	1110	N926DL	BDL	118	859
29	869	N901DL	BDL	119	859
29	300	N103DA	BDL	120	859
29	422	N687DL	BDL	120	859
29	286	N942DL	BDL	122	859
30	422	N676DL	BDL	114	859
30	1408	N110DL	BDL	115	859
30	869	N912DL	BDL	116	859
30	942	N652DL	BDL	116	859
30	286	N941DL	BDL	117	859
30	776	N913DL	BDL	118	859
30	1110	N916DL	BDL	123	859
31	942	N624DL	BDL	108	859
31	869	N943DL	BDL	110	859
31	422	N641DL	BDL	112	859
31	1408	N659DL	BDL	112	859
31	1110	N945DL	BDL	113	859
31	286	N977DL	BDL	114	859
31	776	N969DL	BDL	114	859
1	1631	N930DL	BHM	24	134
1	1635	N312DL	BHM	24	134
1	1673	N988DL	BHM	24	134
1	1134	N236WA	BHM	25	134
1	1177	N398DA	BHM	27	134
1	1861	N376DL	BHM	27	134
1	291	N927DA	BHM	28	134
1	870	N980DL	BHM	28	134
2	1631	N969DL	BHM	23	134
2	870	N908DE	BHM	24	134
2	1673	N920DE	BHM	24	134
2	1134	N307DL	BHM	26	134
2	1861	N334DL	BHM	27	134
2	1177	N3736C	BHM	28	134
3	1631	N959DL	BHM	23	134
3	1134	N310DA	BHM	27	134
3	1673	N980DL	BHM	27	134
3	1861	N378DL	BHM	28	134
3	1635	N380DL	BHM	29	134
3	291	N976DL	BHM	30	134
3	1177	N3730B	BHM	31	134
3	870	N912DE	BHM	34	134
4	1134	N245WA	BHM	25	134
4	1177	N3734B	BHM	25	134
4	1631	N988DL	BHM	25	134
4	1635	N379DL	BHM	25	134
4	1673	N963DL	BHM	25	134
4	870	N900DE	BHM	26	134
4	291	N969DL	BHM	27	134
4	1861	N324DL	BHM	28	134
5	1134	N317DL	BHM	22	134
5	870	N922DL	BHM	26	134
5	1673	N916DE	BHM	26	134
5	1631	N966DL	BHM	27	134
5	291	N945DL	BHM	28	134
5	1177	N398DA	BHM	28	134
5	1861	N376DL	BHM	28	134
5	1635	N382DL	BHM	31	134
6	1134	N375DL	BHM	26	134
6	291	N988DL	BHM	27	134
6	870	N981DL	BHM	27	134
6	1635	N308DL	BHM	27	134
6	1673	N989DL	BHM	28	134
6	1177	N3739	BHM	29	134
6	1631	N975DL	BHM	29	134
6	1861	N311DL	BHM	29	134
7	870	N992DL	BHM	30	134
7	1631	N901DE	BHM	30	134
7	1673	N929DL	BHM	30	134
7	1861	N376DL	BHM	30	134
7	1134	N323DL	BHM	31	134
7	291	N924DL	BHM	32	134
7	1635	N243WA	BHM	32	134
7	1177	N399DA	BHM	33	134
8	870	N915DE	BHM	28	134
8	291	N989DL	BHM	29	134
8	1673	N966DL	BHM	29	134
8	1635	N319DL	BHM	30	134
8	1134	N244WA	BHM	31	134
8	1177	N397DA	BHM	31	134
8	1631	N913DE	BHM	31	134
8	1861	N238WA	BHM	31	134
9	870	N958DL	BHM	29	134
9	1631	N911DE	BHM	29	134
9	1673	N909DL	BHM	31	134
9	1861	N373DL	BHM	31	134
9	1134	N318DL	BHM	32	134
9	1177	N3736C	BHM	32	134
10	291	N919DL	BHM	31	134
10	1673	N911DE	BHM	31	134
10	1861	N238WA	BHM	32	134
10	870	N917DE	BHM	33	134
10	1134	N329DL	BHM	33	134
10	1631	N984DL	BHM	33	134
10	1635	N322DL	BHM	34	134
10	1177	N3738B	BHM	35	134
11	1631	N911DE	BHM	25	134
11	1635	N320DL	BHM	30	134
11	870	N913DL	BHM	31	134
11	291	N982DL	BHM	32	134
11	1673	N946DL	BHM	32	134
11	1134	N318DL	BHM	33	134
11	1177	N3752	BHM	33	134
11	1861	N301DL	BHM	33	134
12	870	N977DL	BHM	25	134
12	1631	N986DL	BHM	25	134
12	1134	N302DL	BHM	26	134
12	1861	N245WA	BHM	27	134
12	1177	N398DA	BHM	28	134
12	1635	N375DL	BHM	28	134
12	291	N949DL	BHM	29	134
12	1673	N906DL	BHM	29	134
13	870	N900DE	BHM	24	134
13	1631	N980DL	BHM	24	134
13	291	N957DL	BHM	25	134
13	1134	N312DL	BHM	25	134
13	1177	N3732J	BHM	25	134
13	1635	N324DL	BHM	27	134
13	1673	N928DL	BHM	27	134
13	1861	N321DL	BHM	28	134
14	1177	N397DA	BHM	23	134
14	1673	N3760C	BHM	24	134
14	291	N979DL	BHM	25	134
14	870	N925DL	BHM	25	134
14	1134	N326DL	BHM	26	134
14	1631	N971DL	BHM	27	134
14	1635	N330DL	BHM	27	134
14	1861	N381DL	BHM	38	134
15	291	N953DL	BHM	24	134
15	1134	N331DL	BHM	24	134
15	870	N914DE	BHM	25	134
15	1177	N3737C	BHM	25	134
15	1635	N320DL	BHM	27	134
15	1673	N957DL	BHM	27	134
15	1861	N244WA	BHM	27	134
15	1631	N963DL	BHM	28	134
16	1631	N910DE	BHM	25	134
16	870	N939DL	BHM	27	134
16	1673	N991DL	BHM	27	134
16	1134	N326DL	BHM	28	134
16	1177	N391DA	BHM	28	134
16	1861	N331DL	BHM	29	134
17	870	N938DL	BHM	24	134
17	1134	N325DL	BHM	25	134
17	1635	N376DL	BHM	27	134
17	1177	N3737C	BHM	28	134
17	1673	N907DL	BHM	28	134
17	1861	N238WA	BHM	29	134
17	291	N952DL	BHM	30	134
17	1631	N958DL	BHM	33	134
18	291	N912DE	BHM	24	134
18	1861	N380DL	BHM	24	134
18	1134	N381DL	BHM	25	134
18	1631	N966DL	BHM	25	134
18	1673	N994DL	BHM	25	134
18	870	N957DL	BHM	26	134
18	1177	N3734B	BHM	26	134
18	1635	N243WA	BHM	26	134
19	1631	N975DL	BHM	24	134
19	870	N933DL	BHM	30	134
19	1635	N375DL	BHM	33	134
19	1673	N996DL	BHM	34	134
19	1861	N310DA	BHM	37	134
19	1177	N3731T	BHM	38	134
19	291	N927DA	BHM	39	134
20	870	N991DL	BHM	24	134
20	1134	N375DL	BHM	24	134
20	1673	N959DL	BHM	24	134
20	291	N981DL	BHM	25	134
20	1177	N397DA	BHM	25	134
20	1631	N985DL	BHM	27	134
20	1635	N242WA	BHM	29	134
20	1861	N379DL	BHM	30	134
21	1631	N952DL	BHM	30	134
21	870	N969DL	BHM	31	134
21	1177	N3734B	BHM	32	134
21	1635	N377DL	BHM	32	134
21	1673	N961DL	BHM	32	134
21	1861	N310DA	BHM	32	134
21	1134	N373DL	BHM	33	134
21	291	N983DL	BHM	34	134
22	870	N913DE	BHM	27	134
22	1673	N950DL	BHM	27	134
22	1134	N305DL	BHM	30	134
22	1631	N939DL	BHM	30	134
22	291	N958DL	BHM	31	134
22	1635	N311DL	BHM	31	134
22	1861	N327DL	BHM	31	134
22	1177	N3733Z	BHM	33	134
23	1177	N3755D	BHM	27	134
23	1631	N915DE	BHM	28	134
23	870	N951DL	BHM	29	134
23	1134	N326DL	BHM	29	134
23	1673	N909DE	BHM	29	134
23	1861	N239WA	BHM	34	134
24	1134	N307DL	BHM	24	134
24	1673	N907DL	BHM	24	134
24	1177	N398DA	BHM	25	134
24	1635	N329DL	BHM	25	134
24	870	N991DL	BHM	26	134
24	1631	N962DL	BHM	27	134
24	1861	N237WA	BHM	29	134
24	291	N995DL	BHM	30	134
25	1631	N991DL	BHM	23	134
25	870	N926DL	BHM	24	134
25	1635	N331DL	BHM	24	134
25	1673	N955DL	BHM	25	134
25	291	N914DL	BHM	26	134
25	1177	N3731T	BHM	27	134
25	1861	N327DL	BHM	27	134
25	1134	N374DL	BHM	28	134
26	1861	N313DL	BHM	23	134
26	870	N988DL	BHM	24	134
26	1631	N919DL	BHM	27	134
26	1673	N958DL	BHM	27	134
26	1134	N373DL	BHM	28	134
26	1635	N306DL	BHM	28	134
26	291	N947DL	BHM	29	134
26	1177	N3738B	BHM	31	134
27	1134	N323DL	BHM	24	134
27	1673	N951DL	BHM	24	134
27	870	N942DL	BHM	25	134
27	1635	N238WA	BHM	25	134
27	1861	N245WA	BHM	25	134
27	1177	N3733Z	BHM	27	134
27	291	N905DL	BHM	28	134
27	1631	N943DL	BHM	31	134
